"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Navigation","","Navigate with button","0","0","1","0","0"
"Entry functionalities","","Registration","2","0","1","0","0"
"Data handling","","Data listing","0","0","4","0","0"
"Entry functionalities","","Terms and Conditions","1","0","1","0","0"
"Entry functionalities","","Login","0","0","3","0","0"
"Data handling","","Data modification","1","0","0","0","0"
"Data handling","","Data input","1","0","1","0","0"
"Navigation","","Navigate with window handling","0","0","1","0","0"
"File handling","","Data saving","0","0","3","0","0"
"Data handling","","List traversal with pagination","0","0","2","0","0"
"Data handling","","Data deletion","0","0","1","0","0"
"Navigation","","Navigate with link","1","0","0","0","0"
"Data handling","","SequentialDataInput","0","0","1","0","0"
"File handling","","File download","1","0","0","0","0"
"Entry functionalities","","Logout","0","0","1","0","0"
